,Country,ISO3,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
97,Isle of Man,IMN,0.36,-0.746,-0.821,0.091,-0.585,-0.107,0.098,0.023,-0.301,0.034,0.3,-0.206,0.278,-0.216,0.681,0.644,-0.358,0.192,-0.795,-0.046,0.276,0.06,0.363,0.334,-0.513,-0.706,-0.245,0.248,1.085,0.892,0.164,0.445,-0.053,0.255,1.152,-0.126,0.908,0.912,1.095,0.617,0.498,0.877,1.034,0.929,1.145,1.209,1.302,0.809,0.854,-0.132,0.659,0.589,0.414,1.492,0.406,1.083,1.331,0.844,1.137,1.161,0.979,1.794,1.854,1.9140000000000001,1.9740000000000002,2.0340000000000003,2.0940000000000003,2.1540000000000004,2.2140000000000004,2.2740000000000005,2.3340000000000005,2.3940000000000006,2.4540000000000006,2.5140000000000007,2.5740000000000007,2.634000000000001,2.694000000000001,2.754000000000001,2.814000000000001,2.874000000000001
98,Israel,ISR,-0.134,0.837,0.833,-0.633,-0.042,0.601,-0.9,-0.062,0.296,0.236,-0.307,-0.47,-0.451,-0.235,-0.392,-0.555,0.043,-0.045,0.639,-0.172,-0.189,-0.542,-1.043,-0.206,0.021,0.072,-0.264,0.062,-0.15,-0.136,0.366,-1.049,-0.381,0.788,-0.15,0.347,-0.115,0.893,0.895,0.301,0.927,0.807,0.641,0.619,0.271,0.658,0.593,0.801,0.902,2.397,0.649,1.105,1.185,0.951,1.427,1.731,0.878,2.139,1.343,1.612,1.964,1.275,1.335,1.395,1.455,1.5150000000000001,1.5750000000000002,1.6350000000000002,1.6950000000000003,1.7550000000000003,1.8150000000000004,1.8750000000000004,1.9350000000000005,1.9950000000000006,2.0550000000000006,2.1150000000000007,2.1750000000000007,2.2350000000000008,2.295000000000001,2.355000000000001
99,Italy,ITA,0.812,0.046,-0.347,0.147,-0.42,0.308,0.302,0.015,-0.104,-0.157,-0.157,-0.146,0.021,-0.126,0.063,-0.324,0.281,-0.54,0.014,-0.428,-0.291,0.49,0.363,-0.472,0.11,0.432,0.176,0.811,0.385,1.103,-0.004,0.494,0.486,1.479,0.395,0.218,0.917,0.933,0.88,1.202,1.495,0.877,1.489,0.71,0.534,0.826,1.532,1.125,1.213,0.728,1.221,1.512,0.974,1.618,1.704,1.71,1.611,1.843,1.695,1.889,1.579,2.156,2.216,2.2760000000000002,2.3360000000000003,2.3960000000000004,2.4560000000000004,2.5160000000000005,2.5760000000000005,2.6360000000000006,2.6960000000000006,2.7560000000000007,2.8160000000000007,2.876000000000001,2.936000000000001,2.996000000000001,3.056000000000001,3.116000000000001,3.176000000000001,3.236000000000001
100,Jamaica,JAM,-0.062,-0.016,-0.059,0.011,-0.172,0.057,-0.198,-0.143,0.223,-0.261,-0.385,0.294,0.366,0.143,0.254,-0.291,,,,0.614,0.871,0.365,0.683,0.248,0.277,0.295,1.254,1.095,0.651,0.68,0.75,0.907,0.517,0.926,0.897,0.376,0.863,1.294,0.658,0.353,0.613,0.872,1.046,0.883,0.98,0.983,0.905,0.531,0.812,1.136,0.594,0.751,1.032,1.268,1.336,1.492,1.189,1.382,1.694,1.807,1.467,1.355,1.415,1.475,1.5350000000000001,1.5950000000000002,1.6550000000000002,1.7150000000000003,1.7750000000000004,1.8350000000000004,1.8950000000000005,1.9550000000000005,2.0150000000000006,2.0750000000000006,2.1350000000000007,2.1950000000000007,2.255000000000001,2.315000000000001,2.375000000000001,2.435000000000001
101,Japan,JPN,0.67,0.126,-0.054,0.26,-0.527,0.014,0.029,-0.501,-0.045,-0.373,-0.328,0.233,0.333,-0.482,0.041,-0.508,-0.154,0.231,0.456,-0.214,-0.641,-0.047,0.099,-0.616,0.118,-0.7,0.318,-0.16,0.558,1.135,0.724,0.326,0.005,0.958,0.342,-0.132,0.449,1.194,0.944,0.624,0.409,0.621,0.312,1.105,0.724,0.374,0.988,0.657,0.793,0.913,0.585,0.381,0.609,0.543,0.817,1.307,0.781,0.908,1.253,1.418,1.253,1.316,1.3760000000000001,1.4360000000000002,1.4960000000000002,1.5560000000000003,1.6160000000000003,1.6760000000000004,1.7360000000000004,1.7960000000000005,1.8560000000000005,1.9160000000000006,1.9760000000000006,2.0360000000000005,2.0960000000000005,2.1560000000000006,2.2160000000000006,2.2760000000000007,2.3360000000000007,2.396000000000001
102,Jordan,JOR,-0.192,0.999,0.792,-0.651,-0.009,0.738,-1.023,-0.088,0.429,0.238,-0.369,-0.594,-0.477,-0.279,-0.506,-0.724,0.044,0.077,0.795,-0.1,-0.146,-0.685,-1.077,-0.25,-0.016,0.078,-0.123,0.032,-0.066,-0.044,0.464,-1.168,-0.565,0.893,-0.044,0.493,-0.167,1.034,1.045,0.386,1.014,0.698,0.53,0.651,0.189,0.79,0.572,0.785,0.621,2.659,0.576,1.155,1.116,0.908,1.558,1.782,1.077,2.115,1.426,1.772,2.081,1.511,1.571,1.631,1.691,1.7510000000000001,1.8110000000000002,1.8710000000000002,1.9310000000000003,1.9910000000000003,2.051,2.111,2.1710000000000003,2.2310000000000003,2.2910000000000004,2.3510000000000004,2.4110000000000005,2.4710000000000005,2.5310000000000006,2.5910000000000006
103,"Kazakhstan, Rep. of",KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,-0.366,-0.04,2.039,-0.402,1.89,0.491,1.372,1.498,1.656,2.255,0.103,2.161,1.557,1.418,2.167,1.519,1.149,1.276,0.709,1.122,1.583,0.648,1.573,2.201,1.724,0.605,1.447,2.8,1.41,2.665,2.725,2.785,2.845,2.9050000000000002,2.9650000000000003,3.0250000000000004,3.0850000000000004,3.1450000000000005,3.2050000000000005,3.2650000000000006,3.3250000000000006,3.3850000000000007,3.4450000000000007,3.505000000000001,3.565000000000001,3.625000000000001,3.685000000000001,3.745000000000001
104,Kenya,KEN,0.284,-0.237,-0.202,-0.45,-0.306,0.089,-0.03,-0.627,0.089,0.2,-0.241,0.182,0.503,-0.098,-0.088,0.173,0.173,-0.022,0.068,0.585,0.176,0.274,0.598,0.194,-0.002,0.19,0.787,0.653,-0.127,-0.027,0.262,0.412,0.043,0.484,0.361,0.363,0.399,0.228,0.215,0.48,0.537,0.672,0.8,0.579,0.782,0.817,0.507,0.708,1.284,1.071,1.033,0.933,0.839,0.923,1.068,1.145,1.405,0.516,1.48,1.185,1.275,1.162,1.222,1.282,1.342,1.4020000000000001,1.4620000000000002,1.5220000000000002,1.5820000000000003,1.6420000000000003,1.7020000000000004,1.7620000000000005,1.8220000000000005,1.8820000000000006,1.9420000000000006,2.0020000000000007,2.0620000000000007,2.1220000000000008,2.182000000000001,2.242000000000001
105,Kiribati,KIR,-0.035,-0.13,-0.072,-0.176,-0.345,-0.013,-0.035,-0.012,0.363,0.113,-0.429,-0.277,0.154,-0.139,-0.229,-0.229,0.132,0.237,0.164,0.207,0.251,0.182,0.132,-0.137,0.061,0.337,0.128,0.096,-0.177,0.249,0.242,0.152,-0.164,0.124,0.449,0.322,0.119,0.533,-0.093,0.173,0.455,0.557,0.64,,,0.62,0.597,0.299,0.652,0.361,0.377,0.478,0.677,0.816,0.952,1.278,1.09,0.996,0.998,1.474,,,,,,,,,,,,,,,,,,,,
106,"Korea, Dem. People's Rep. of",PRK,0.497,-0.054,-0.105,0.239,-0.207,-0.063,0.165,-0.467,-0.456,-0.379,-0.276,-0.164,0.623,-0.46,0.936,-0.318,0.177,0.689,0.641,0.004,-0.595,0.905,0.587,-0.155,0.142,-0.702,0.228,0.554,1.217,1.312,0.578,0.753,0.554,1.341,0.681,0.259,0.968,1.75,1.354,0.569,0.827,0.818,0.911,1.565,0.829,0.684,1.603,1.517,1.065,0.379,0.503,0.407,0.288,1.575,1.28,1.495,1.671,0.935,1.889,1.892,1.87,1.581,1.641,1.701,1.7610000000000001,1.8210000000000002,1.8810000000000002,1.9410000000000003,2.0010000000000003,2.0610000000000004,2.1210000000000004,2.1810000000000005,2.2410000000000005,2.3010000000000006,2.3610000000000007,2.4210000000000007,2.4810000000000008,2.541000000000001,2.601000000000001,2.661000000000001
107,"Korea, Rep. of",KOR,0.635,-0.095,-0.471,0.611,-0.178,0.099,0.167,-0.68,-0.293,-0.496,-0.197,-0.081,0.521,-0.803,0.576,-0.486,0.124,0.791,0.599,-0.464,-0.765,0.424,0.457,-0.283,0.259,-0.766,0.371,0.249,0.776,1.224,0.272,0.614,0.035,1.248,0.413,-0.026,0.728,1.482,1.063,0.446,0.918,0.667,0.641,1.218,0.947,0.533,1.306,1.004,1.002,0.54,0.347,0.43,0.538,1.024,0.973,1.652,1.462,0.964,1.521,1.498,1.694,1.546,1.606,1.6660000000000001,1.7260000000000002,1.7860000000000003,1.8460000000000003,1.9060000000000004,1.9660000000000004,2.0260000000000002,2.0860000000000003,2.1460000000000004,2.2060000000000004,2.2660000000000005,2.3260000000000005,2.3860000000000006,2.4460000000000006,2.5060000000000007,2.5660000000000007,2.626000000000001
108,Kuwait,KWT,-0.292,0.783,0.458,-0.786,0.057,0.807,-0.651,-0.277,0.395,0.518,-0.154,-0.751,-0.223,-0.345,-0.245,-0.66,0.34,0.006,1.274,0.453,0.402,-0.157,-0.637,0.256,0.006,0.468,0.715,0.442,0.133,0.375,0.483,-0.579,-0.129,0.916,0.16,0.868,0.475,1.291,2.012,1.235,1.226,1.557,1.517,1.461,0.652,1.81,0.999,1.368,1.249,2.521,1.281,1.483,1.342,1.433,2.078,1.663,1.917,2.304,1.833,1.905,2.605,2.203,2.263,2.323,2.383,2.443,2.503,2.563,2.623,2.6830000000000003,2.7430000000000003,2.8030000000000004,2.8630000000000004,2.9230000000000005,2.9830000000000005,3.0430000000000006,3.1030000000000006,3.1630000000000007,3.2230000000000008,3.283000000000001
109,Kyrgyz Rep.,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.072,-0.087,0.293,0.471,-0.417,1.426,0.791,1.064,1.074,1.459,1.433,0.45,1.51,1.167,1.618,1.674,0.972,0.959,1.334,1.189,0.252,1.336,0.46,1.413,1.808,1.375,1.155,1.597,1.282,1.297,2.491,2.551,2.611,2.6710000000000003,2.7310000000000003,2.7910000000000004,2.8510000000000004,2.9110000000000005,2.9710000000000005,3.0310000000000006,3.0910000000000006,3.1510000000000007,3.2110000000000007,3.271000000000001,3.331000000000001,3.391000000000001,3.451000000000001,3.511000000000001,3.571000000000001
110,Lao People's Dem. Rep.,LAO,0.064,-0.249,-0.413,-0.085,-0.192,0.445,-0.102,-0.141,0.492,-0.066,-0.538,-0.032,0.473,-0.419,0.25,-0.513,-0.007,0.156,0.482,0.468,0.444,0.18,0.267,0.083,0.273,0.03,0.944,0.315,0.23,0.419,0.693,0.208,0.301,0.416,0.635,0.148,0.335,1.421,0.649,0.022,0.714,0.612,0.982,0.414,0.893,0.859,0.574,0.263,0.633,1.345,0.103,0.942,1.121,0.688,1.284,1.306,1.087,0.788,2.014,1.546,1.078,0.903,0.9630000000000001,1.0230000000000001,1.0830000000000002,1.1430000000000002,1.2030000000000003,1.2630000000000003,1.3230000000000004,1.3830000000000005,1.4430000000000005,1.5030000000000006,1.5630000000000006,1.6230000000000007,1.6830000000000007,1.7430000000000008,1.8030000000000008,1.8630000000000009,1.923000000000001,1.983000000000001
111,Latvia,LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.583,0.399,0.685,1.621,-0.418,0.761,0.647,1.547,2.008,1.813,1.712,0.238,1.015,1.353,1.089,2.207,2.4,1.514,0.681,1.142,1.391,1.061,2.301,2.14,1.928,1.487,2.342,2.44,3.532,1.965,1.951,2.011,2.071,2.1310000000000002,2.1910000000000003,2.2510000000000003,2.3110000000000004,2.3710000000000004,2.4310000000000005,2.4910000000000005,2.5510000000000006,2.6110000000000007,2.6710000000000007,2.7310000000000008,2.791000000000001,2.851000000000001,2.911000000000001,2.971000000000001,3.031000000000001
112,Lebanon,LBN,-0.035,0.819,0.763,-0.713,-0.09,0.676,-0.908,-0.047,0.266,0.427,-0.26,-0.617,-0.501,-0.208,-0.235,-0.645,0.105,0.039,0.718,-0.204,0.03,-0.487,-0.945,-0.077,-0.007,0.241,-0.222,0.027,0.14,0.055,0.404,-1.015,-0.429,1.074,0.088,0.444,-0.057,1.04,1.135,0.587,1.19,0.881,0.69,0.712,0.357,0.783,0.783,1.043,0.892,2.392,0.675,1.04,1.255,1.05,1.425,1.716,1.125,2.235,1.494,1.726,2.157,1.413,1.473,1.5330000000000001,1.5930000000000002,1.6530000000000002,1.7130000000000003,1.7730000000000004,1.8330000000000004,1.8930000000000005,1.9530000000000005,2.0130000000000003,2.0730000000000004,2.1330000000000005,2.1930000000000005,2.2530000000000006,2.3130000000000006,2.3730000000000007,2.4330000000000007,2.4930000000000008
113,"Lesotho, Kingdom of",LSO,0.324,0.222,-0.028,-0.055,-0.128,0.192,-0.146,-0.417,0.452,0.403,-0.063,-0.142,0.087,-0.15,-0.194,-0.465,0.264,0.101,0.305,0.18,-0.312,0.269,1.002,0.341,0.775,0.479,0.578,0.459,-0.007,0.337,0.501,0.942,0.982,0.055,0.675,-0.269,0.192,0.889,1.202,0.308,0.569,0.572,0.941,1.065,1.055,0.479,0.606,0.358,0.346,1.087,0.242,0.561,0.545,0.53,1.072,1.668,0.774,0.647,1.544,0.589,0.784,0.862,0.9219999999999999,0.982,1.042,1.102,1.1620000000000001,1.2220000000000002,1.2820000000000003,1.3420000000000003,1.4020000000000004,1.4620000000000004,1.5220000000000005,1.5820000000000005,1.6420000000000006,1.7020000000000006,1.7620000000000007,1.8220000000000007,1.8820000000000008,1.9420000000000008
114,Liberia,LBR,-0.139,-0.13,0.097,-0.176,-0.28,0.044,-0.107,0.007,0.238,0.313,-0.12,0.027,0.497,0.009,-0.121,-0.232,0.228,0.236,0.541,0.404,0.159,0.228,0.504,0.352,0.281,0.16,0.939,0.819,0.328,0.555,0.565,0.293,0.556,0.519,0.628,0.563,1.002,1.329,0.787,0.571,0.467,0.811,0.909,0.903,1.1,1.124,1.045,1.148,1.341,1.42,1.087,0.869,0.981,0.934,1.286,1.469,1.473,1.283,1.391,1.52,1.441,1.488,1.548,1.608,1.6680000000000001,1.7280000000000002,1.7880000000000003,1.8480000000000003,1.9080000000000004,1.9680000000000004,2.0280000000000005,2.0880000000000005,2.1480000000000006,2.2080000000000006,2.2680000000000007,2.3280000000000007,2.388000000000001,2.448000000000001,2.508000000000001,2.568000000000001
115,Libya,LBY,-0.417,0.214,0.255,-0.095,-0.101,0.269,-0.568,-0.024,0.792,-0.226,-0.18,0.181,-0.081,-0.071,-0.467,-0.499,0.337,-0.222,0.19,-0.061,0.031,0.051,-0.358,-0.126,0.03,0.192,-0.087,0.901,-0.024,0.544,0.271,-0.381,0.359,0.523,0.421,0.653,0.543,0.769,1.219,0.257,1.292,0.923,0.957,0.782,0.774,0.859,0.837,0.86,0.747,2.057,0.847,0.829,1.271,1.281,0.741,1.674,0.37,1.774,0.875,1.043,1.872,0.547,0.607,0.667,0.7270000000000001,0.7870000000000001,0.8470000000000002,0.9070000000000003,0.9670000000000003,1.0270000000000004,1.0870000000000004,1.1470000000000005,1.2070000000000005,1.2670000000000006,1.3270000000000006,1.3870000000000007,1.4470000000000007,1.5070000000000008,1.5670000000000008,1.627000000000001
116,Liechtenstein,LIE,1.052,-0.479,-0.774,0.058,-0.833,0.417,0.556,0.023,-0.008,-0.546,-0.072,0.079,-0.017,0.182,0.689,0.3,0.276,-0.353,-0.08,-0.157,0.05,0.555,0.954,-0.358,-0.324,0.393,-0.034,0.939,1.1,1.323,0.199,1.105,0.656,1.95,0.929,-0.006,0.969,1.23,0.992,1.476,1.455,1.404,1.695,0.92,0.685,0.981,1.963,1.426,1.435,0.514,1.689,1.648,0.966,2.281,2.099,2.078,1.847,2.312,2.134,2.422,1.297,2.646,2.706,2.766,2.826,2.886,2.946,3.0060000000000002,3.0660000000000003,3.1260000000000003,3.1860000000000004,3.2460000000000004,3.3060000000000005,3.3660000000000005,3.4260000000000006,3.4860000000000007,3.5460000000000007,3.6060000000000008,3.666000000000001,3.726000000000001
117,Lithuania,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.475,0.288,0.937,1.506,-0.528,0.515,0.728,1.471,2.01,1.788,1.898,0.169,0.872,1.2,0.918,2.191,2.214,1.38,0.734,0.937,1.343,0.939,2.206,2.073,1.929,1.525,2.408,2.622,3.429,1.775,1.949,2.009,2.069,2.129,2.189,2.249,2.309,2.369,2.4290000000000003,2.4890000000000003,2.5490000000000004,2.6090000000000004,2.6690000000000005,2.7290000000000005,2.7890000000000006,2.8490000000000006,2.9090000000000007,2.9690000000000007,3.029000000000001
118,Luxembourg,LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.644,1.425,1.384,1.685,1.012,1.13,1.36,1.944,1.281,1.182,0.321,1.335,1.259,0.569,2.458,1.506,1.857,1.624,2.439,2.122,2.595,1.126,2.887,2.947,3.007,3.067,3.1270000000000002,3.1870000000000003,3.2470000000000003,3.3070000000000004,3.3670000000000004,3.4270000000000005,3.4870000000000005,3.5470000000000006,3.6070000000000007,3.6670000000000007,3.7270000000000008,3.787000000000001,3.847000000000001,3.907000000000001,3.967000000000001
119,"Madagascar, Rep. of",MDG,0.521,-0.107,-0.312,-0.399,-0.601,-0.092,0.288,-0.422,0.409,0.248,-0.22,-0.06,0.197,-0.238,-0.189,0.06,0.411,0.548,0.31,0.37,0.152,0.329,0.453,-0.068,0.112,-0.008,0.523,0.569,0.033,0.088,0.391,0.366,0.331,0.281,0.236,0.053,0.554,0.744,0.368,0.421,0.546,0.491,0.53,0.333,0.456,0.627,0.54,0.377,0.74,1.033,0.975,0.768,0.631,0.654,1.003,0.916,1.238,0.929,1.329,1.059,1.128,0.806,0.8660000000000001,0.9260000000000002,0.9860000000000002,1.0460000000000003,1.1060000000000003,1.1660000000000004,1.2260000000000004,1.2860000000000005,1.3460000000000005,1.4060000000000006,1.4660000000000006,1.5260000000000007,1.5860000000000007,1.6460000000000008,1.7060000000000008,1.766000000000001,1.826000000000001,1.886000000000001
120,Malawi,MWI,0.337,-0.137,-0.389,-0.273,-0.515,0.168,0.096,-0.25,0.297,0.18,-0.217,0.089,0.375,-0.252,-0.08,-0.024,0.552,0.317,0.143,0.278,-0.132,0.046,0.925,0.315,0.051,0.265,0.643,0.784,0.233,0.674,0.183,0.567,-0.012,0.184,0.78,0.55,0.656,1.003,0.216,0.769,0.635,0.809,0.941,0.663,1.382,1.025,1.062,0.521,0.652,1.087,0.795,0.902,0.776,1.069,1.041,1.325,1.337,1.269,1.425,1.572,0.886,0.851,0.911,0.9710000000000001,1.0310000000000001,1.0910000000000002,1.1510000000000002,1.2110000000000003,1.2710000000000004,1.3310000000000004,1.3910000000000005,1.4510000000000005,1.5110000000000006,1.5710000000000006,1.6310000000000007,1.6910000000000007,1.7510000000000008,1.8110000000000008,1.8710000000000009,1.931000000000001
121,Malaysia,MYS,-0.072,-0.106,-0.115,0.034,-0.22,0.143,-0.123,-0.081,0.254,0.138,-0.223,0.061,0.28,-0.189,0.022,-0.229,0.103,0.213,0.295,0.223,0.188,0.185,0.598,-0.083,0.102,0.111,0.434,0.374,0.034,0.421,0.365,0.316,0.164,0.31,0.411,0.341,0.538,1.122,0.335,0.306,0.474,0.631,0.66,0.574,0.756,0.496,0.538,0.402,0.646,0.876,0.517,0.697,0.876,0.891,1.046,1.484,1.022,1.026,1.318,1.281,1.106,1.014,1.074,1.1340000000000001,1.1940000000000002,1.2540000000000002,1.3140000000000003,1.3740000000000003,1.4340000000000004,1.4940000000000004,1.5540000000000005,1.6140000000000005,1.6740000000000006,1.7340000000000007,1.7940000000000007,1.8540000000000008,1.9140000000000008,1.9740000000000009,2.0340000000000007,2.0940000000000007
122,Maldives,MDV,,-0.073,,,,0.405,-0.148,-0.239,0.229,,,0.179,0.544,-0.178,-0.352,0.008,-0.018,-0.17,0.083,0.184,0.141,0.326,0.488,0.219,0.073,0.241,0.541,0.804,0.012,0.558,0.599,0.204,0.266,0.466,0.746,0.465,0.618,0.999,0.379,0.341,0.556,0.716,0.618,0.489,0.944,0.488,0.536,0.307,0.658,0.795,0.644,0.629,0.691,0.767,0.895,0.93,0.786,0.725,0.989,1.0,0.924,0.559,0.619,0.679,0.7390000000000001,0.7990000000000002,0.8590000000000002,0.9190000000000003,0.9790000000000003,1.0390000000000004,1.0990000000000004,1.1590000000000005,1.2190000000000005,1.2790000000000006,1.3390000000000006,1.3990000000000007,1.4590000000000007,1.5190000000000008,1.5790000000000008,1.639000000000001
123,Mali,MLI,-0.329,-0.19,0.165,-0.17,-0.307,0.009,-0.114,-0.273,0.686,0.412,0.038,0.326,0.555,-0.394,-0.43,-0.331,0.395,0.403,0.682,1.01,0.43,0.292,0.86,0.64,0.556,0.352,1.12,0.814,0.129,0.931,0.728,0.236,1.042,0.24,0.625,1.199,0.901,1.214,0.357,0.659,0.599,1.272,1.265,1.227,1.433,1.13,0.978,0.588,1.033,1.7,1.274,0.443,1.008,0.894,1.147,1.22,1.478,1.181,1.208,1.197,1.873,1.054,1.114,1.1740000000000002,1.2340000000000002,1.2940000000000003,1.3540000000000003,1.4140000000000004,1.4740000000000004,1.5340000000000005,1.5940000000000005,1.6540000000000006,1.7140000000000006,1.7740000000000007,1.8340000000000007,1.8940000000000008,1.9540000000000008,2.0140000000000007,2.0740000000000007,2.134000000000001
124,Malta,MLT,0.557,0.386,-0.161,0.299,-0.205,0.152,0.135,0.001,-0.085,-0.1,-0.239,-0.263,0.022,-0.23,-0.366,-0.686,0.325,-0.583,0.057,-0.491,-0.365,0.59,0.013,-0.289,0.406,0.379,0.506,1.173,0.183,1.204,0.112,0.234,0.587,1.384,0.416,0.593,1.007,0.831,1.251,1.034,1.647,0.913,1.306,0.588,0.609,0.933,1.336,1.175,0.924,1.052,0.827,1.317,1.27,1.454,1.485,1.713,1.148,1.327,1.138,1.466,1.931,1.736,1.796,1.856,1.9160000000000001,1.9760000000000002,2.036,2.096,2.156,2.216,2.2760000000000002,2.3360000000000003,2.3960000000000004,2.4560000000000004,2.5160000000000005,2.5760000000000005,2.6360000000000006,2.6960000000000006,2.7560000000000007,2.8160000000000007
125,"Marshall Islands, Rep. of the",MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.105,-0.066,0.156,-0.042,0.051,-0.032,-0.051,-0.329,-0.214,0.109,0.269,0.235,0.378,0.343,0.272,0.276,0.028,0.231,0.402,0.212,0.595,0.601,0.621,0.523,0.906,0.625,0.41,0.619,0.73,0.441,0.064,0.124,0.184,0.244,0.304,0.364,0.424,0.484,0.544,0.6040000000000001,0.6640000000000001,0.7240000000000002,0.7840000000000003,0.8440000000000003,0.9040000000000004,0.9640000000000004,1.0240000000000005,1.0840000000000005,1.1440000000000006
126,Martinique,MTQ,0.101,-0.04,0.19,0.046,-0.411,0.094,-0.164,-0.285,0.298,0.171,-0.236,-0.113,0.253,-0.248,-0.319,-0.331,0.215,0.326,0.246,0.686,0.643,0.336,0.609,0.061,0.033,0.125,0.735,0.503,0.051,0.429,0.511,0.433,0.555,0.521,0.711,0.509,0.655,1.231,0.637,0.476,0.589,0.742,0.969,0.652,1.048,0.788,0.858,0.307,0.516,1.274,0.598,0.661,0.728,0.659,0.99,1.187,0.917,0.734,0.917,1.157,0.879,0.757,0.817,0.877,0.937,0.9970000000000001,1.0570000000000002,1.1170000000000002,1.1770000000000003,1.2370000000000003,1.2970000000000004,1.3570000000000004,1.4170000000000005,1.4770000000000005,1.5370000000000006,1.5970000000000006,1.6570000000000007,1.7170000000000007,1.7770000000000008,1.8370000000000009
127,"Mauritania, Islamic Rep. of",MRT,0.003,0.182,0.143,0.09,-0.504,0.146,-0.216,-0.464,0.594,0.672,-0.381,-0.116,0.433,-0.736,-0.369,-0.63,0.55,0.457,0.872,0.814,0.732,0.39,1.439,0.41,0.428,0.141,1.373,0.722,0.535,1.264,0.645,0.666,0.758,0.503,1.028,1.417,1.161,1.608,0.387,1.023,1.183,1.171,1.181,1.313,1.228,1.292,0.892,1.17,0.777,1.847,1.504,0.8,1.344,1.222,1.285,1.622,2.051,1.049,1.397,1.864,1.804,1.669,1.729,1.7890000000000001,1.8490000000000002,1.9090000000000003,1.9690000000000003,2.0290000000000004,2.0890000000000004,2.1490000000000005,2.2090000000000005,2.2690000000000006,2.3290000000000006,2.3890000000000007,2.4490000000000007,2.509000000000001,2.569000000000001,2.629000000000001,2.689000000000001,2.749000000000001
128,Mauritius,MUS,0.433,-0.033,-0.087,-0.186,-0.113,0.076,0.214,-0.21,0.298,0.302,-0.395,0.051,-0.144,-0.736,-0.164,-0.051,0.449,0.255,0.28,0.322,0.12,0.217,0.152,-0.502,-0.243,-0.011,0.48,0.278,-0.102,0.054,0.327,-0.008,0.014,0.396,0.275,0.002,0.547,0.79,0.146,0.118,0.462,0.364,0.653,0.266,0.448,0.335,0.438,0.072,0.69,0.974,0.724,0.576,0.807,0.852,1.184,1.158,1.347,0.965,1.426,1.284,1.174,0.823,0.883,0.9430000000000001,1.0030000000000001,1.0630000000000002,1.1230000000000002,1.1830000000000003,1.2430000000000003,1.3030000000000004,1.3630000000000004,1.4230000000000005,1.4830000000000005,1.5430000000000006,1.6030000000000006,1.6630000000000007,1.7230000000000008,1.7830000000000008,1.8430000000000009,1.903000000000001
129,Mayotte,MYT,0.445,0.035,-0.166,-0.132,-0.49,0.121,0.191,-0.446,0.159,0.175,-0.804,-0.248,0.196,-0.487,-0.042,,,0.279,0.209,0.335,0.201,0.519,0.284,-0.469,-0.159,0.017,0.409,0.397,-0.256,0.117,0.261,0.144,0.262,0.563,0.39,0.027,0.427,0.911,0.338,0.106,0.266,0.712,0.388,0.277,0.405,0.198,0.61,0.319,0.56,0.8,0.546,0.483,0.269,0.45,0.676,0.599,0.886,0.67,1.23,0.98,0.568,0.423,0.483,0.5429999999999999,0.603,0.663,0.7230000000000001,0.7830000000000001,0.8430000000000002,0.9030000000000002,0.9630000000000003,1.0230000000000004,1.0830000000000004,1.1430000000000005,1.2030000000000005,1.2630000000000006,1.3230000000000006,1.3830000000000007,1.4430000000000007,1.5030000000000008
130,Mexico,MEX,-0.149,0.183,0.225,-0.292,-0.071,-0.249,-0.109,-0.424,0.179,-0.298,-0.058,0.312,-0.152,-0.074,-0.317,-0.476,0.016,0.19,-0.054,0.388,0.163,0.569,0.011,-0.116,0.078,0.262,-0.166,0.129,0.439,0.22,0.219,0.037,0.278,0.652,0.735,0.48,0.404,0.645,0.553,0.542,0.475,0.652,0.811,0.314,0.74,0.873,0.452,0.497,0.99,0.233,0.941,0.849,0.679,0.793,1.028,1.233,1.501,1.123,1.262,1.621,1.064,1.14,1.2,1.26,1.32,1.3800000000000001,1.4400000000000002,1.5000000000000002,1.5600000000000003,1.6200000000000003,1.6800000000000004,1.7400000000000004,1.8000000000000005,1.8600000000000005,1.9200000000000006,1.9800000000000006,2.0400000000000005,2.1000000000000005,2.1600000000000006,2.2200000000000006
